Grade;Z;A;n;alpha
B60;0.25;0;1;0
B60;0.24;0.02;1;0
B60;0.22;0.02;1;0
B60;0.2;0.02;1;0
B60;0.18;0.02;1;0
B60;0.16;0.02;1;0
B60;0.14;0.02;1;0
B60;0.12;0.02;1;0
B60;0.1;0.02;1;0
B60;0.08;0.02;1;0
B60;0.06;0.02;1;0
B60;0.04;0.02;1;0
B60;0.02;0.02;1;0
B60;0;0.02;1;0
B60;-0.02;0.02;1;0
B60;-0.04;0.02;1;0
B60;-0.06;0.02;1;0
B60;-0.08;0.02;1;0
B60;-0.1;0.02;1;0
B60;-0.12;0.02;1;0
B60;-0.14;0.02;1;0
B60;-0.16;0.02;1;0
B60;-0.18;0.02;1;0
B60;-0.2;0.02;1;0
B60;-0.22;0.02;1;0
B60;-0.24;0.02;1;0
B60;-0.25;0;1;0
A500;0.178;0.002454;5;0
A500;0.153;0.002454;5;90
A500;-0.153;0.002454;5;90
A500;-0.178;0.002454;5;0
